A_FileName,B_ProductImage_Filename,C_Product_Description,D_Product_Price,E_Product_Brand,F_Product_Weight,G_Product_Quantity,H_Cost_per_Kg,I_Cost_per_Piece,J_Product_Category,K_Product_SubCategory
IMG_7805.PNG,IMG_7805_product_1.png,Bananen 5 Stk.,"1,49 €",,"0,30 € / 1Stk.",5 Stück,4.97 €/kg,0.30 €/Stk,Obst,Bananen
IMG_7805.PNG,IMG_7805_product_2.png,Bananen Chiquita 5 Stk.,"2,79 €",Chiquita,,5 Stück,,0.56 €/Stk,Obst,Bananen
IMG_7805.PNG,IMG_7805_product_3.png,Apfel Snack Gala 1kg,"4,29 €",,1kg,1,4.29 €/kg,4.29 €/Stk,Obst,Äpfel
IMG_7805.PNG,IMG_7805_product_4.png,Apfel Pink Lady 1kg,"3,99 €",Pink Lady,1kg,1,3.99 €/kg,3.99 €/Stk,Obst,Äpfel
