component_id,canvas_id,processing_timestamp,canvas_x,canvas_y,canvas_width,canvas_height,product_image_x,product_image_y,product_image_width,product_image_height,text_area_x,text_area_y,text_area_width,text_area_height,pink_button_detected,pink_button_x,pink_button_y,pink_button_width,pink_button_height,pink_button_center_x,pink_button_center_y,pink_button_confidence
IMG_7974_component_1,1,2025-09-23T21:49:48.012463,48,663,573,813,48,663,573,573,48,1236,573,240,True,500,1115,96,96,548,1163,0.9017574729191821
IMG_7974_component_2,2,2025-09-23T21:49:48.013470,669,663,573,813,669,663,573,573,669,1236,573,240,True,1121,1115,96,96,1169,1163,0.9017574729191821
IMG_7974_component_3,3,2025-09-23T21:49:48.014287,48,1524,573,813,48,1524,573,573,48,2097,573,240,True,500,1976,96,96,548,2024,0.9017574729191821
IMG_7974_component_4,4,2025-09-23T21:49:48.014972,669,1524,573,813,669,1524,573,573,669,2097,573,240,True,1121,1976,96,96,1169,2024,0.9017574729191821
