component_id,canvas_id,processing_timestamp,canvas_x,canvas_y,canvas_width,canvas_height,product_image_x,product_image_y,product_image_width,product_image_height,text_area_x,text_area_y,text_area_width,text_area_height,pink_button_detected,pink_button_x,pink_button_y,pink_button_width,pink_button_height,pink_button_center_x,pink_button_center_y,pink_button_confidence
IMG_8448_component_1,1,2025-09-23T21:47:54.453304,48,580,573,813,48,580,573,573,48,1153,573,240,True,500,1032,96,96,548,1080,0.9017574729191821
IMG_8448_component_2,2,2025-09-23T21:47:54.454263,48,1513,573,813,48,1513,573,573,48,2086,573,240,True,500,1965,96,96,548,2013,0.9017574729191821
IMG_8448_component_3,3,2025-09-23T21:47:54.455034,669,1513,573,813,669,1513,573,573,669,2086,573,240,True,1121,1965,96,96,1169,2013,0.9017574729191821
