component_id,canvas_id,processing_timestamp,canvas_x,canvas_y,canvas_width,canvas_height,product_image_x,product_image_y,product_image_width,product_image_height,text_area_x,text_area_y,text_area_width,text_area_height,pink_button_detected,pink_button_x,pink_button_y,pink_button_width,pink_button_height,pink_button_center_x,pink_button_center_y,pink_button_confidence
IMG_8138_component_1,1,2025-09-23T22:16:40.784708,48,923,573,813,48,923,573,573,48,1496,573,240,True,500,1375,96,96,548,1423,0.9017574729191821
IMG_8138_component_2,2,2025-09-23T22:16:40.785435,669,923,573,813,669,923,573,573,669,1496,573,240,True,1121,1375,96,96,1169,1423,0.9017574729191821
IMG_8138_component_3,3,2025-09-23T22:16:40.786215,48,1784,573,762,48,1784,573,573,48,2357,573,240,True,500,2236,96,96,548,2284,0.9017574729191821
IMG_8138_component_4,4,2025-09-23T22:16:40.786962,669,1784,573,762,669,1784,573,573,669,2357,573,240,True,1121,2236,96,96,1169,2284,0.9017574729191821
