component_id,canvas_id,processing_timestamp,canvas_x,canvas_y,canvas_width,canvas_height,product_image_x,product_image_y,product_image_width,product_image_height,text_area_x,text_area_y,text_area_width,text_area_height,pink_button_detected,pink_button_x,pink_button_y,pink_button_width,pink_button_height,pink_button_center_x,pink_button_center_y,pink_button_confidence
IMG_7999_component_1,1,2025-09-23T19:17:49.539169,48,619,573,813,48,619,573,573,48,1192,573,240,True,500,1071,96,96,548,1119,0.9017574729191821
IMG_7999_component_2,2,2025-09-23T19:17:49.539866,669,619,573,813,669,619,573,573,669,1192,573,240,True,1121,1071,96,96,1169,1119,0.9017574729191821
IMG_7999_component_3,3,2025-09-23T19:17:49.540683,48,1480,573,813,48,1480,573,573,48,2053,573,240,True,500,1932,96,96,548,1980,0.9017574729191821
IMG_7999_component_4,4,2025-09-23T19:17:49.541405,669,1480,573,813,669,1480,573,573,669,2053,573,240,True,1121,1932,96,96,1169,1980,0.9017574729191821
