component_id,canvas_id,processing_timestamp,canvas_x,canvas_y,canvas_width,canvas_height,product_image_x,product_image_y,product_image_width,product_image_height,text_area_x,text_area_y,text_area_width,text_area_height,pink_button_detected,pink_button_x,pink_button_y,pink_button_width,pink_button_height,pink_button_center_x,pink_button_center_y,pink_button_confidence
IMG_7805_component_1,1,2025-09-23T18:37:55.738649,48,767,573,813,48,767,573,573,48,1340,573,240,True,500,1219,96,96,548,1267,0.9017574729191821
IMG_7805_component_2,2,2025-09-23T18:37:55.739419,669,767,573,813,669,767,573,573,669,1340,573,240,True,1121,1219,96,96,1169,1267,0.9015069499374014
IMG_7805_component_3,3,2025-09-23T18:37:55.740258,48,1700,573,813,48,1700,573,573,48,2273,573,240,True,500,2152,96,96,548,2200,0.9017574729191821
IMG_7805_component_4,4,2025-09-23T18:37:55.741107,669,1700,573,813,669,1700,573,573,669,2273,573,240,True,1121,2152,96,96,1169,2200,0.9017574729191821
